nombre,url_imagen,categoria
Abrazaderas,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AbrazaderasDeTRESCUARTOSdePulgada.png?v=1719594871,FERRETERIA
Aceite MULTIPROPOSITO PEQ,img/BXamHSj.png,FERRETERIA
Aceite BLANCO 3 en 1 ORIGINAL,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AceiteBLANCO3en1ORIGINAL_c975eaba-6829-4a60-836b-112c513024d1.png?v=1719595403,FERRETERIA
Aceite de almendras * 14,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Aceitedealmendras14.jpg?v=1719595425,CACHARRERIA
Aceite singer ORIGINAL,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/pixelcut-export_17.png?v=1723242830,FERRETERIA
Acetaminofen jarabe * 60 ml,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Acetaminofenjarabe60ml.jpg?v=1719595730,DROGUERIA
Acido Borico,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/acidoborico.jpg?v=1721533294,DROGUERIA
Acido Muriatico,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ACIDOMURIATICO.png?v=1723244797,FERRETERIA
ACOPLE ECONOMICO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ACOPLESANITARIOECONOMICO.jpg?v=1719595872,FERRETERIA
Acuarela Escolar KIRA,,PAPELERIA
Acuarelas Maquillaje * 18 Colores,img/NLTTt3X.png,COSMETICOS
Adaptador Hembra,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AdaptadorHembra.jpg?v=1719595960,PVC
Adaptador Macho,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AdaptadorMACHO.png?v=1719596364,PVC
AEROSOL OCI COLORES STIDOS,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AEROSOLOCICOLORESSTIDOS.jpg?v=1719598055,FERRETERIA
Agenda 7 MATERIAS LUKIS,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Agenda7MATERIASLUKIS.jpg?v=1719598092,PAPELERIA
Agenda Broche Pequeña,,PAPELERIA
Agenda Magnetica stida,,PAPELERIA
Agenda universitaria hombre,,PAPELERIA
Agua oxigenada Economica,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AguaoxigenadaEconomica.jpg?v=1719598133,DROGUERIA
AGUJA ARRIA # 5,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AGUJAARRIA_55.webp?v=1721862586,MOSDISTERIA
Aguja capotera * 20,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AGUJASCAPOTERA.png?v=1724097136,MOSDISTERIA
Aguja de mano # 1,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/pixelcut-export_20.png?v=1723312614,MOSDISTERIA
Aguja de Mano PUNTO DE ORO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/agujademanopuntadeoro.png?v=1721934883,MOSDISTERIA
Aguja de maquina - #,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AGUJADEMAQUINA.png?v=1719599271,MOSDISTERIA
AGUJAS DE INFLAR BALONES,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AGUJASDEINFLARBALONES.png?v=1719599580,JUEGOS
Ajedrez MADERA,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ajedrezdemadera.webp?v=1721935146,JUEGOS
Alcancia Marrano,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ALCANCIADEMARRANO.png?v=1724097968,CACHARRERIA
Alcancía tarro Motivos Stidos,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Alcancia_tarro_gde_Motivos_Stidos.jpg?v=1724098286,CACHARRERIA
Alfiler cabeza * 12,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Alfilercabeza12.jpg?v=1719600129,MOSDISTERIA
Alfiler en caja,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/alfilerencaja.png?v=1721936013,MOSDISTERIA
Alfiler Perlado *12 Displays,,PAPELERIA
ALGODÓN EN MOTAS,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/algodonenmotas._1.jpg?v=1721936217,DROGUERIA
Algodón Unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ALGODONES.png?v=1723559602,DROGUERIA
Almohada CUELLO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AlmohadaCUELLO.jpg?v=1719600986,LENCERIA
Almohada Sencilla,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AlmohadaSencilla.jpg?v=1719601080,LENCERIA
Almohadilla para Sello,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AlmohadillaparaSello.jpg?v=1719601113,PAPELERIA
Almohadillas para tablero,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/Almohadillasparatablero.jpg?v=1719601147,PAPELERIA
Amarras para ZINC METALICAS * DISPLAY,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AMARRAS-ZINC.jpg?v=1721531787,FERRETERIA
Amarras plasticas * 100 unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/amarrascms.png?v=1721528943,FERRETERIA
Amoxicilina Suspension * ml,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AmoxicilinaSuspensionml.jpg?v=1719601308,DROGUERIA
Amoxicilina Tira * 10 Unid,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AmoxicilinaDisplay50unid.webp?v=1719932544,DROGUERIA
Ampicilina Tira * 10 Unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ampicilina.webp?v=1721611595,DROGUERIA
Ampolletas LEHIT FINAS,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AMPOLLETASLEHIT.webp?v=1721440265,COSMETICOS
AMPOLLETAS PARA EL CABELLO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ampolletas.webp?v=1722195982,COSMETICOS
ANILINA IRIS,img/3qGbCBT.png,CACHARRERIA
Anillo Abrazadera Dorada estuche,,FANTASIA
Anillos para el cabello Surtidos,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/anillosparaelcabello2.webp?v=1721611785,FANTASIA
Antena Para TV,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/antena_para_tv.webp?v=1721612308,ELECTRICOS
Anzuelo de Pesca,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/anzuelo.png?v=1722197017,PEZCA
APRONAX CAPSULA GEL * 8,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/APRONAXCAPSULAGEL8.jpg?v=1719602304,DROGUERIA
ARCHIVADOR CON 13 COMPARTIMIENTOS TAMAÑO OFICIO,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ARCHIVADORCONCOMPARTIMIENTOS.jpg?v=1719602334,PAPELERIA
Arden for men * DISPLAY SOBRES * 18 Unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ArdenformenDISPLAYSOBRES-18Unidades.webp?v=1719932564,COSMETICOS
ARDEN FOR MEN ROLLON,img/7vLz9Py.jpeg,COSMETICOS
Armadoras de SMOKING,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/armadorasdesmoking.webp?v=1721612378,SMOKING
Aspirina Corazon * 28 Unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/ASPIRINACORAZON.png?v=1723246227,DROGUERIA
Aspirina ULTRA * 20 Unidades,https://cdn.shopify.com/s/files/1/0882/2954/4246/files/AspirinaULTRA20Unidades.jpg?v=1721504504,DROGUERIA
Atomizador,img/e34T5JS.png,BELLEZA
